Transaction_ID,Customer_ID,Transaction_Date,Amount,Payment_Method,Device,Location,Status,Failure_Reason
TXN1440,CUST1295,2026-01-01,663.19,Net Banking,Desktop,Delhi,Success,None
TXN1448,CUST1421,2026-01-01,1122.03,Net Banking,Tablet,Mumbai,Success,None
TXN2658,CUST1020,2026-01-01,633.24,Credit Card,Mobile,Mumbai,Success,None
TXN2036,CUST1160,2026-01-01,970.91,Debit Card,Mobile,Hyderabad,Success,None
TXN0910,CUST1933,2026-01-01,342.02,Net Banking,Desktop,Pune,Success,None
TXN1055,CUST1445,2026-01-01,1010.74,Debit Card,Desktop,Pune,Success,None
TXN1118,CUST1562,2026-01-01,3151.5,Credit Card,Desktop,Chennai,Success,None
TXN1892,CUST1663,2026-01-01,690.49,Credit Card,Desktop,Delhi,Success,None
TXN0410,CUST1821,2026-01-02,1331.03,UPI,Mobile,Pune,Success,None
TXN0991,CUST1255,2026-01-02,1211.93,Credit Card,Mobile,Chennai,Success,None
TXN2329,CUST1305,2026-01-02,2858.47,UPI,Mobile,Chennai,Success,None
TXN0730,CUST1921,2026-01-02,1859.11,UPI,Mobile,Chennai,Success,None
TXN0463,CUST1048,2026-01-02,610.09,Net Banking,Desktop,Mumbai,Success,None
TXN1157,CUST1280,2026-01-02,1191.24,UPI,Desktop,Chennai,Success,None
TXN0167,CUST1098,2026-01-02,1227.09,UPI,Mobile,Hyderabad,Success,None
TXN2681,CUST1380,2026-01-02,1382.78,UPI,Desktop,Chennai,Success,None
TXN2100,CUST1139,2026-01-02,1902.48,Wallet,Mobile,Hyderabad,Success,None
TXN2621,CUST1403,2026-01-02,755.58,Credit Card,Desktop,Bangalore,Success,None
TXN1658,CUST1140,2026-01-02,453.57,UPI,Mobile,Chennai,Success,None
TXN0115,CUST1295,2026-01-02,942.26,UPI,Mobile,Bangalore,Success,None
TXN1180,CUST1232,2026-01-02,1013.17,Net Banking,Tablet,Pune,Failed,Bank Declined
TXN2178,CUST1322,2026-01-02,1251.93,UPI,Mobile,Pune,Success,None
TXN1173,CUST1681,2026-01-02,1334.58,Credit Card,Desktop,Hyderabad,Failed,Insufficient Funds
TXN0064,CUST1166,2026-01-02,2268.48,Credit Card,Mobile,Delhi,Success,None
TXN2210,CUST1972,2026-01-02,1962.84,UPI,Mobile,Delhi,Success,None
TXN0476,CUST1036,2026-01-03,1931.88,UPI,Mobile,Mumbai,Success,None
TXN1978,CUST1015,2026-01-03,3364.08,Debit Card,Desktop,Delhi,Failed,Insufficient Funds
TXN0110,CUST1455,2026-01-03,1809.15,UPI,Tablet,Mumbai,Success,None
TXN0551,CUST1833,2026-01-03,2879.62,Net Banking,Desktop,Mumbai,Success,None
TXN0607,CUST1740,2026-01-03,4781.79,Net Banking,Mobile,Delhi,Success,None
TXN1632,CUST1160,2026-01-03,298.39,Credit Card,Desktop,Delhi,Success,None
TXN0495,CUST1127,2026-01-03,258.41,UPI,Mobile,Pune,Success,None
TXN2716,CUST1777,2026-01-03,1288.68,Credit Card,Desktop,Bangalore,Success,None
TXN0813,CUST1564,2026-01-03,427.84,Credit Card,Mobile,Bangalore,Success,None
TXN1463,CUST1946,2026-01-03,2105.6,Debit Card,Mobile,Hyderabad,Failed,Network Error
TXN1781,CUST1255,2026-01-03,1091.18,Credit Card,Desktop,Pune,Success,None
TXN2354,CUST1481,2026-01-03,983.5,Credit Card,Mobile,Mumbai,Success,None
TXN2551,CUST1382,2026-01-03,2355.41,UPI,Mobile,Pune,Success,None
TXN2051,CUST1140,2026-01-03,1431.77,UPI,Mobile,Delhi,Success,None
TXN1169,CUST1788,2026-01-03,903.77,UPI,Desktop,Bangalore,Success,None
TXN0139,CUST1647,2026-01-03,297.11,Debit Card,Tablet,Bangalore,Success,None
TXN1720,CUST1766,2026-01-04,889.91,Wallet,Desktop,Mumbai,Success,None
TXN0845,CUST1167,2026-01-04,163.11,UPI,Mobile,Delhi,Success,None
TXN0914,CUST1555,2026-01-04,2082.26,Wallet,Mobile,Chennai,Success,None
TXN1526,CUST1793,2026-01-04,2579.74,UPI,Mobile,Hyderabad,Success,None
TXN2888,CUST1600,2026-01-04,1384.9,Wallet,Mobile,Pune,Success,None
TXN1813,CUST1757,2026-01-04,574.49,UPI,Tablet,Chennai,Success,None
TXN0272,CUST1563,2026-01-04,1893.25,Wallet,Desktop,Pune,Success,None
TXN0827,CUST1162,2026-01-04,1412.32,Debit Card,Desktop,Mumbai,Success,None
TXN1387,CUST1784,2026-01-04,1153.22,UPI,Mobile,Delhi,Failed,Technical Error
TXN0273,CUST1267,2026-01-04,705.46,Debit Card,Desktop,Chennai,Success,None
TXN1953,CUST1215,2026-01-04,414.8,UPI,Desktop,Delhi,Success,None
